"PAT_ZIP","SITE_ZIP","total_enc_cnt"
"01450","01742","6"
"01453","01824","26"
"01453","02155","4"
"01460","01824","35"
"01462","02138","5"
"01464","01915","11"
"01503","02481","3"
"01742","02467","5"
"01742","02138","11"
"01719","01824","6"
"01720","02481","55"
"01720","01824","75"
"01720","01915","3"
"01730","01824","66"
"01740","01742","20"
"01752","02481","103"
"01754","02481","70"
"01754","01742","53"
"01754","02144","5"
"01754","01960","6"
"01757","01915","13"
"01770","02472","11"
"01772","02481","42"
"01772","02169","3"
"01749","02215","3"
"01752","02215","14"
"01803","01960","70"
"01803","01915","21"
"01775","02481","39"
"01776","01960","3"
"01776","02109","6"
"01778","02109","16"
"01778","01742","3"
"01801","01915","98"
"01810","02109","35"
"01810","01915","17"
"01810","01803","79"
"01810","02467","3"
"01821","01915","46"
"01821","02215","13"
"01850","01803","68"
"01850","01742","13"
"01826","01803","64"
"01841","01915","1"
"01843","02215","5"
"01844","01803","15"
"01844","02138","13"
"01845","02481","8"
"01851","02144","4"
"01852","01824","667"
"01852","02109","6"
"01852","02481","5"
"01854","02215","1"
"01854","02481","6"
"01862","01742","7"
"01852","02215","4"
"01852","02184","2"
"01852","02467","13"
"01863","01742","9"
"01864","02215","11"
"01864","02109","5"
"01876","01960","65"
"01876","02467","11"
"01876","02481","4"
"01887","01803","249"
"01887","02481","5"
"01904","01803","16"
"01905","01960","266"
"01905","01915","35"
"01890","02481","8"
"01886","02467","2"
"01923","01960","286"
"01923","01803","20"
"01930","02109","20"
"01930","02481","3"
"01906","02144","2"
"01906","02155","124"
"01908","02155","3"
"01913","01803","1"
"01913","01824","10"
"01915","01824","20"
"01921","01915","38"
"01921","01803","1"
"01940","01803","19"
"01945","01915","80"
"01949","01915","39"
"01960","01960","1145"
"01960","02138","4"
"01952","01915","3"
"02021","02026","25"
"02021","02184","224"
"02021","02481","87"
"02025","02109","28"
"02025","02481","6"
"01966","01960","11"
"01966","02155","6"
"01966","01803","2"
"01969","01915","44"
"01983","02144","22"
"02019","02169","30"
"02020","02169","4"
"02030","02109","7"
"02032","02467","7"
"02032","02144","1"
"02035","02481","19"
"02035","02062","15"
"02038","02467","14"
"02062","02109","66"
"02045","02467","22"
"02045","02155","2"
"02047","02169","1"
"02048","02215","21"
"02050","02184","263"
"02050","02144","17"
"02051","02138","8"
"02052","02215","3"
"02052","02109","7"
"02053","02062","9"
